index,name,price,promotion_price,retailer,image_url
37,Farmer's Choice Fresh 12 Piece Chicken Fillets Per Kg,R79.99 Per Kg,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Farmer_s_Choice_Fresh_12_Piece_Chicken_Fillets_Per_Kg.jpg?
38,Spekko Long Grain Parboiled White Rice Bag 2kg,R47.99,R39.99,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Spekko_Long_Grain_Parboiled_White_Rice_Bag_2kg.jpg?
39,Cadbury Dairy Milk Whole Nut Chocolate Slab 80g,R23.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Cadbury_Dairy_Milk_Whole_Nut_Chocolate_Slab_80g.jpg?
80,Knorr Aromat Original All Purpose Seasoning Trio Refill 200g,R39.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Knorr_Aromat_Original_All_Purpose_Seasoning_Trio_Refill_200g.jpg?
81,Standard Brown Bread 700g,R11.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Standard_Brown_Bread_700g.jpg?
82,Kellogg's Chicken Flavoured Instant Noodles 5 x 70g,R37.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Kellogg_s_Chicken_Flavoured_Instant_Noodles_5_x_70g.jpg?
83,Top Red Apples Bag 1.5kg,R39.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Top_Red_Apples_Bag_1.5kg.jpg?
84,Sprite Lemon-Lime Flavoured Sparkling Drink 2L,R19.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Sprite_Lemon-Lime_Flavoured_Sparkling_Drink_2L.jpg?
85,Spar-Letta Pine Nut Flavoured Soft Drink Bottle 2L,R16.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Spar-Letta_Pine_Nut_Flavoured_Soft_Drink_Bottle_2L.jpg?
86,Twist Granadilla Flavoured Soft Drink 2L,R16.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Twist_Granadilla_Flavoured_Soft_Drink_2L.jpg?
87,SASKO Premium Sliced Brown Bread Loaf 700g,R17.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_SASKO_Premium_Sliced_Brown_Bread_Loaf_700g.jpg?
88,Coca-Cola Zero Sugar Soft Drink 2L,R19.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Coca-Cola_Zero_Sugar_Soft_Drink_2L.jpg?
89,"Danone NutriDay Strawberry, Banana And Mixed Fruit Flavoured Low Fat Dairy Snack 6 x 100g",R23.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Danone_NutriDay_Strawberry__Banana_And_Mixed_Fruit_Flavoured_Low_Fat_Dairy_Snack_6_x_100g.jpg?
90,Bar-One Large Chocolate 52g,R15.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Bar-One_Large_Chocolate_52g.jpg?
91,Corona Extra Beer Bottles 6 x 355ml,R114.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Corona_Extra_Beer_Bottles_6_x_355ml.jpg?
92,Wellington's New Recipe Tomato Sauce 700ml,R39.99,R29.99,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Wellington_s_New_Recipe_Tomato_Sauce_700ml.jpg?
